Hospital,Address,City,State,Zip,County/district,RUCA,CBSA,Medicare Payment,# of Beds,Closure Month,Closure Year,"Complete Closure (0);
Converted Closure (1)",updated 6/19/2026,state_full_name,Median_HH_Income,Median_HH_Income_MOE,Total_Population,Pop_White_NonHispanic,Pop_Black,Pop_AIAN,Pop_Hispanic
Sturgis Hospital,916 Myrtle Ave,Sturgis,MI,49091,St. Joseph,4.0,Micro,REH,0,June,2026,0,197 Closed Rural Hospitals 2005-2026,Michigan,64707,2507,60870,51400,1324,17,5553
Bradford Regional Medical Center,116 INTERSTATE PARKWAY,BRADFORD,PA,16701,McKean,4.0,Micro,PPS,14,May,2026,1,88 Converted to other health services,Pennsylvania,61705,3002,40149,37127,868,8,731
Claremore Indian Hospital,101 South Moore Ave,Claremore,OK,74017,Rogers,4.0,Metro,IHS,46,October,2025,1,,Oklahoma,77688,1584,97235,67604,892,11720,5690
Glenn Medical Center,1133 W SYCAMORE ST,WILLOWS,CA,95988,Glenn,7.0,Neither,CAH,25,September,2025,1,,California,70487,4406,28623,13918,158,203,12632
Northern Light Inland Hospital,200 KENNEDY MEMORIAL DRIVE,WATERVILLE,ME,4901,Kennebec,4.0,Micro,MDH,33,May,2025,0,,Maine,65062,2268,125614,116473,1006,223,2708
Lawrence Medical Center,202 HOSPITAL STREET,MOULTON,AL,35650,Lawrence,7.0,Metro,PPS,43,May,2025,1,,Alabama,60040,5520,33182,25064,3292,1339,953
Mid Coast Medical Center - Trinity,317 PROSPECT DRIVE,TRINITY,TX,75862,Trinity,7.0,Neither,PPS,21,April,2025,0,,Texas,51663,5802,13850,10711,1202,10,1480
Valley Community Hospital,100 VALLEY DRIVE,PAULS VALLEY,OK,73075,Garvin,7.0,Neither,PPS,43,January,2025,0,,Oklahoma,57127,2268,25779,18729,400,968,2575
MercyOne Primghar Medical Center,255 N WELCH AVENUE,PRIMGHAR,IA,51245,O'Brien,10.0,Neither,CAH,14,September,2024,0,,Iowa,68216,5498,14103,12487,186,24,1009
Thomasville Regional Medical Center,300 MED PARK DRIVE,THOMASVILLE,AL,36784,Clarke,7.0,Neither,PPS,29,September,2024,0,,Alabama,49167,4873,22802,11674,10340,9,261
Community Memorial Hospital,208 N COLUMBUS ST,HICKSVILLE,OH,43526,Defiance,7.0,Micro,CAH,25,May,2024,0,,Ohio,73615,4002,38258,32612,553,40,4096
Aspirus Ontonagon Hospital,601 S SEVENTH ST,ONTONAGON,MI,49953,Ontonagon,10.0,Neither,CAH,25,April,2024,1,,Michigan,51844,3805,5870,5465,47,17,100
Jellico Regional Hospital,188 HOSPITAL LANE,JELLICO,TN,37762,Campbell,10.0,Metro,CAH,25,March,2024,0,,Tennessee,50260,4099,39568,37944,134,5,576
St. Mark's Medical Center,ONE ST MARK'S PLACE,LA GRANGE,TX,78945,Fayette,7.0,Neither,REH,0,October,2023,0,,Texas,76541,4186,24783,17308,1431,19,5355
Herington Hospital,100 E HELEN STREET,HERINGTON,KS,67449,Dickinson,10.0,Neither,CAH,15,October,2023,0,,Kansas,67982,4319,18423,16396,51,25,998
Spectrum Health Kelsey Hospital,418 WASHINGTON AVE,LAKEVIEW,MI,48850,Montcalm,10.0,Metro,CAH,25,October,2023,0,,Michigan,64892,2061,67174,58834,2158,171,2826
Indiana University Health Blackford Hospital,410 Pilgrim Blvd,Hartford City,IN,47348,Blackford,9.0,Neither,CAH,15,October,2023,1,,Indiana,47560,4952,12007,11311,56,6,263
Martin General Hospital,310 S MCCASKEY RD,WILLIAMSTON,NC,27892,Martin,7.0,Neither,MDH,43,August,2023,0,,North Carolina,46793,3420,21773,11169,8913,15,939
St. Margaret's Health - Spring Valley,600 E 1ST ST,SPRING VALLEY,IL,61362,Bureau,4.0,Micro,MDH,44,June,2023,0,,Illinois,65894,2958,33027,28194,212,20,3251
UPMC Lock Haven,24 CREE DRIVE,LOCK HAVEN,PA,17745,Clinton,4.0,Micro,MDH,25,March,2023,1,,Pennsylvania,58842,3207,37707,35397,524,23,690
Ascension St. Vincent Dunn,1600 23RD STREET,BEDFORD,IN,47421,Lawrence,4.0,Micro,CAH,25,December,2022,1,,Indiana,65551,3449,45077,42464,163,12,847
Blessing Health Keokuk,1600 MORGAN STREET,KEOKUK,IA,52632,Lee,4.0,Micro,MDH,49,September,2022,0,,Iowa,59803,3489,33175,30029,902,22,1134
Southeast Regional Medical Center,719 AVENUE G,KENTWOOD,LA,70444,Tangipahoa Parish,10.0,Metro,PPS,14,August,2022,1,,Louisiana,57256,4845,135218,82315,40043,78,7511
Audrain Community Hospital,620 E MONROE,MEXICO,MO,65265,Audrain,4.0,Micro,SCH,40,March,2022,0,,Missouri,56232,4379,24688,21543,1149,47,767
Callaway Community Hospital,10 SOUTH HOSPITAL DRIVE,FULTON,MO,65251,Callaway,4.0,Metro,PPS,18,March,2022,0,,Missouri,72645,2446,44541,39443,1512,195,1044
Acoma-Canoncito-Laguna Service Unit,80B Veterans Blvd,Acoma,NM,87034,Cibola,2.0,Micro,IHS,6,February,2022,1,,New Mexico,51765,8558,27059,5330,522,11502,8925
Galesburg Cottage Hospital,695 N KELLOGG ST,GALESBURG,IL,61401,Knox,4.0,Micro,MDH,96,January,2022,1,,Illinois,53291,3809,49294,39853,3810,31,3090
MercyOne Oakland Medical Center,601 EAST SECOND ST,OAKLAND,NE,68045,Burt,10.0,Neither,CAH,16,July,2021,1,,Nebraska,57303,5933,6730,6132,30,48,218
Community HealthCare System - St. Marys,206 Grand Ave,St. Marys,KS,66536,Pottawatomie,7.0,Metro,CAH,8,June,2021,1,,Kansas,87694,5334,25808,22688,443,72,1508
Northridge Medical Center,70 Medical Center Dr,Commerce,GA,30529,Jackson,7.0,Micro,PPS,27,October,2020,1,,Georgia,85012,4632,80640,62206,6202,7,7989
Southwest Georgia Regional Medical Center,361 Randolph St,Cuthbert,GA,39840,Randolph,7.0,Neither,CAH,25,October,2020,0,,Georgia,25425,6977,6270,1709,4246,0,223
Shands Lake Shore Regional Medical Center,368 NE FRANKLIN ST,LAKE CITY,FL,32055,Columbia,4.0,Micro,PPS,87,August,2020,0,,Florida,55070,3248,70755,50036,11496,43,5258
Cumberland River Hospital,100 OLD JEFFERSON ST,Celina,TN,38551,Clay,6.0,Neither,PPS,1,August,2020,0,,Tennessee,44712,8661,7621,7175,72,17,154
Bluefield Regional Medical Center,500 Cherry St,Bluefield,WV,24701,Mercer,4.0,Micro,MDH,57,July,2020,1,,West Virginia,47799,3257,59062,52508,2455,169,771
Saint Luke's Cushing Hospital,711 Marshall St,Leavenworth,KS,66048,Leavenworth,4.0,Metro,PPS,24,July,2020,1,,Kansas,86906,3854,82493,64124,5916,343,6027
Shands Live Oak Regional Medical Center,1100 SW 11th St,Live Oak,FL,32060,Suwannee,7.0,Neither,CAH,25,April,2020,1,,Florida,55479,4598,44484,32623,4349,96,5040
Shands Starke Regional Medical Center,922 E Call St,Starke,FL,32091,Bradford,2.0,Neither,CAH,25,April,2020,1,,Florida,59740,6217,27888,20241,4829,15,1360
Decatur County General Hospital,969 Tennessee Ave S,Parsons,TN,38363,Decatur,10.0,Neither,MDH,40,April,2020,0,,Tennessee,46190,5885,11499,10435,353,0,406
Sumner Community Hospital,1323 North A Street,Wellington,KS,67152,Sumner,7.0,Metro,PPS,42,March,2020,0,,Kansas,60348,4031,22386,19510,255,172,1320
Edward W. McCready Memorial Hospital,201 Hall Hwy,Crisfield,MD,21817,Somerset,10.0,Metro,PPS,3,March,2020,1,,Maryland,52462,6287,24685,12637,9344,26,1099
Mayo Clinic Health System-Springfield,625 Jackson Ave N,Springfield,MN,56087,Brown,10.0,Micro,CAH,24,March,2020,1,,Minnesota,68690,3342,25826,23814,216,45,1252
Central Hospital of Bowie,705 E Greenwood Ave,Bowie,TX,76230,Montague,7.0,Neither,MDH,37,February,2020,0,,Texas,62818,4686,20599,17324,10,104,2463
UPMC Susquehanna Sunbury,350 N 11th St,Sunbury,PA,17801,Northumberland,4.0,Micro,MDH,70,January,2020,0,,Pennsylvania,57948,1782,90925,81353,2224,9,4412
Pinnacle Regional Hospital,17651 Hwy B,Boonville,MO,65233,Cooper,2.0,Neither,PPS,46,January,2020,0,,Missouri,67548,4278,16835,14839,928,19,346
Mountain View Regional Hospital,"310 Third Street, NE",Norton,VA,24273,Norton,4.0,Micro,PPS,20,January,2020,1,,Virginia,,,,,,,
Ellwood City Medical Center,724 Perishing Street,Ellwood City,PA,16117,Lawrence,2.0,Micro,MDH,52,December,2019,0,,Pennsylvania,60779,1899,85423,76593,3107,11,1756
Black River Community Medical Center,217 PHYSICIANS PARK DRIVE,POPLAR BLUFF,MO,63901,Butler,4.0,Micro,PPS,3,August,2019,1,,Missouri,49213,3349,42166,36446,1943,89,994
Texas General - Van Zandt Regional Medical Center,707 N WALDRIP ST,Grand Saline,TX,75140,Van Zandt,7.0,Neither,PPS,1,August,2019,0,,Texas,68274,4520,61323,49913,1667,184,7835
Hamlin Memorial Hospital,632 N W SECOND STREET,Hamlin,TX,79520,Jones,10.1,Metro,MDH,25,July,2019,1,,Texas,63472,8005,19968,11250,2055,21,5671
Sitka Community Hospital,209 MOLLER DRIVE,Sitka,AK,99835,"Sitka,",7.0,Neither,CAH,12,July,2019,1,,Alaska,,,,,,,
Chillicothe Hospital,303 AVENUE I,Chillicothe,TX,79225,Hardeman,10.2,Neither,CAH,21,July,2019,1,,Texas,61179,9440,3529,2313,121,16,949
Fayette Regional Health System,1941 VIRGINIA AVE,Connersville,IN,47331,Fayette,4.0,Micro,PPS,45,July,2019,1,,Indiana,56659,3753,23390,21952,266,49,318
Albert Lea - Mayo Clinic Health System,404 WEST FOUNTAIN STREET,Albert Lea,MN,56007,Freeborn,4.0,Micro,SCH,142,June,2019,1,,Minnesota,69012,2229,30752,25291,364,28,3249
Regional General Hospital,125 SW 7TH ST,Williston,FL,32696,Levy,2.0,Neither,PPS,20,June,2019,0,,Florida,53805,3062,44276,34138,3643,57,4365
Jamestown Regional Medical Center,436 CENTRAL AVENUE WEST,Jamestown,TN,38556,Fentress,10.2,Neither,SCH,54,June,2019,0,,Tennessee,50865,4241,18948,17886,54,0,374
Mercy Hospital El Reno,2115 PARKVIEW DRIVE,El Reno,OK,73036,Canadian,4.1,Metro,PPS,48,April,2019,0,,Oklahoma,85427,2037,162621,116087,5800,4410,18557
Takoma Regional Hospital,1420 TUSCULUM BOULEVARD,Greeneville,TN,37745,Greene,4.0,Micro,MDH,73,April,2019,1,,Tennessee,54071,3235,70919,64747,1326,56,2662
Horton Community Hospital,240 WEST 18TH STREET,Horton,KS,66439,Brown,10.3,Neither,CAH,15,March,2019,0,,Kansas,58886,5897,9415,7706,131,629,416
Georgiana Medical Center,515 N MIRANDA AVENUE,Georgiana,AL,36033,Butler,10.0,Neither,MDH,22,March,2019,0,,Alabama,44881,4130,18807,9531,8411,69,300
I-70 Community Hospital,"105 HOSPITAL DRIVE, BUILDING B",Sweet Springs,MO,65351,Saline,10.0,Micro,CAH,15,February,2019,0,,Missouri,56566,3401,23177,17680,1065,31,2827
Oswego Community Hosp,800 BARKER DRIVE,Oswego,KS,67356,Labette,10.2,Micro,CAH,12,February,2019,0,,Kansas,55439,2945,19949,16634,686,142,998
Doctors Hospital at Deer Creek,815 SOUTH 10TH STREET,Leesville,LA,71446,Vernon Parish,7.0,Micro,PPS,10,January,2019,0,,Louisiana,58281,2655,47764,33500,6212,368,4379
Fairfield Memorial Hospital,321 BYPASS PO BOX 620,Winnsboro,SC,29180,Fairfield,2.0,Metro,CAH,25,December,2018,0,,South Carolina,46972,3925,20741,8023,11438,3,486
Little River Healthcare Cameron Hospital,806 N CROCKETT,Cameron,TX,76520,Milam,7.1,Neither,PPS,6,December,2018,0,,Texas,59076,4830,25268,15695,2341,32,6466
Little River Healthcare Rockdale Hospital,1700 BRAZOS,Rockdale,TX,76567,Milam,7.1,Neither,CAH,25,December,2018,0,,Texas,59076,4830,25268,15695,2341,32,6466
Adventist Health Feather River,5974 PENTZ ROAD,Paradise,CA,95969,Butte,4.1,Metro,MDH,100,November,2018,0,,California,68574,2351,209470,139527,3550,1611,40829
Southeast Health Center of Ripley County,109 PLUM ST,Doniphan,MO,63935,Ripley,10.2,Neither,MDH,21,October,2018,1,,Missouri,43898,4901,10755,10033,25,28,134
Latimer County General Hospital,806 STATE HIGHWAY 2 NORTH,Wilburton,OK,74578,Latimer,7.0,Neither,MDH,33,October,2018,0,,Oklahoma,41048,2286,9495,5840,115,2266,375
McKenzie Regional Hospital,161 HOSPITAL DRIVE,McKenzie,TN,38201,Carroll,7.0,Neither,PPS,29,September,2018,0,,Tennessee,50391,2292,28461,23904,2515,38,849
Sayre Community Hospital,911 HOSPITAL DRIVE,Sayre,OK,73662,Beckham,7.2,Micro,PPS,22,August,2018,0,,Oklahoma,52323,4425,22202,16733,1080,387,2912
Stamford Memorial Hospital,1601 COLUMBIA STREET,Stamford,TX,79553,Jones,7.1,Metro,PPS,22,July,2018,1,,Texas,63472,8005,19968,11250,2055,21,5671
Twin Rivers Regional Medical Center,1301 FIRST ST,Kennett,MO,63857,Dunklin,4.0,Micro,PPS,100,June,2018,0,,Missouri,47368,3139,27795,21058,2167,13,2055
Coalinga Regional Medical Center,1191 PHELPS AVENUE,Coalinga,CA,93210,Fresno,4.0,Metro,SCH,22,May,2018,0,,California,71434,1034,1012152,273299,42060,4074,547669
Moses-Ludington Hospital,1019 WICKER STREET,Ticonderoga,NY,12883,Essex,7.0,Neither,CAH,25,April,2018,1,,New York,70215,3895,37077,33993,791,80,1026
Tri-Town Regional Hospital,43 WEST PEARL STREET,Sidney,NY,13838,Delaware,7.2,Neither,PPS,4,January,2018,1,,New York,60226,2922,44551,39984,683,33,2100
Our Community Hospital,921 JUNIOR HIGH ROAD,Scotland Neck,NC,27874,Halifax,10.1,Micro,CAH,20,December,2017,1,,North Carolina,45071,3222,48219,17701,24935,1388,1558
Lake Shore Health Care Center – TLC Network,845 ROUTES 5 AND 20,Irving,NY,14081,Chautauqua,10.1,Micro,PPS,25,November,2017,1,,New York,56507,1981,126329,106535,2680,161,11792
Sandhills Regional Med Ctr,1000 WEST HAMLET AVENUE,Hamlet,NC,28345,Richmond,4.0,Micro,PPS,64,November,2017,0,,North Carolina,43626,5421,42818,23602,13566,882,3222
Weimar Medical Center,400 YOUENS DR,Weimar,TX,78962,Colorado,10.1,Neither,PPS,38,November,2017,0,,Texas,68554,5095,20736,11493,2550,13,6218
